(('model', 'driven', 'engineering', 'languages', 'systems'), 28)
(('empirical', 'software', 'engineering', 'software', 'quality'), 1)
(('software', 'engineering', 'software', 'quality', 'testing'), 1)
(('engineering', 'software', 'quality', 'testing', 'embedded'), 1)
(('software', 'quality', 'testing', 'embedded', 'cyberphysical'), 1)
(('quality', 'testing', 'embedded', 'cyberphysical', 'systems'), 1)
(('testing', 'embedded', 'cyberphysical', 'systems', 'dependable'), 1)
(('embedded', 'cyberphysical', 'systems', 'dependable', 'systems'), 1)
(('cyberphysical', 'systems', 'dependable', 'systems', 'services'), 1)
(('systems', 'dependable', 'systems', 'services', 'technologies'), 1)
(('dependable', 'systems', 'services', 'technologies', 'industrial'), 1)
(('systems', 'services', 'technologies', 'industrial', 'informatics'), 1)
(('services', 'technologies', 'industrial', 'informatics', 'computer'), 1)
(('technologies', 'industrial', 'informatics', 'computer', 'safety'), 1)
(('industrial', 'informatics', 'computer', 'safety', 'reliability'), 1)
(('informatics', 'computer', 'safety', 'reliability', 'security'), 1)
(('computer', 'safety', 'reliability', 'security', 'availability'), 1)
(('safety', 'reliability', 'security', 'availability', 'reliability'), 1)
(('reliability', 'security', 'availability', 'reliability', 'security'), 1)
(('security', 'availability', 'reliability', 'security', 'applications'), 1)
(('availability', 'reliability', 'security', 'applications', 'formal'), 1)
(('reliability', 'security', 'applications', 'formal', 'methods'), 1)
(('security', 'applications', 'formal', 'methods', 'software'), 1)
(('applications', 'formal', 'methods', 'software', 'systems'), 1)
(('formal', 'methods', 'software', 'systems', 'modeling'), 1)
(('methods', 'software', 'systems', 'modeling', 'systems'), 1)
(('software', 'systems', 'modeling', 'systems', 'enterprise'), 1)
(('systems', 'modeling', 'systems', 'enterprise', 'distributed'), 1)
(('modeling', 'systems', 'enterprise', 'distributed', 'object'), 1)
(('enterprise', 'distributed', 'object', 'computing', 'information'), 1)
(('distributed', 'object', 'computing', 'information', 'systems'), 1)
(('object', 'computing', 'information', 'systems', 'software'), 1)
(('computing', 'information', 'systems', 'software', 'technologies'), 1)
(('information', 'systems', 'software', 'technologies', 'software'), 1)
(('systems', 'software', 'technologies', 'software', 'engineering'), 1)
(('software', 'technologies', 'software', 'engineering', 'continuous'), 1)
(('technologies', 'software', 'engineering', 'continuous', 'development'), 1)
(('development', 'software', 'production', 'deployment', 'model'), 1)
(('software', 'production', 'deployment', 'model', 'driven'), 1)
(('production', 'deployment', 'model', 'driven', 'engineering'), 1)
(('deployment', 'model', 'driven', 'engineering', 'languages'), 1)
(('driven', 'engineering', 'languages', 'systems', 'modeldriven'), 1)
(('engineering', 'languages', 'systems', 'modeldriven', 'engineering'), 1)
(('languages', 'systems', 'modeldriven', 'engineering', 'languages'), 1)
(('systems', 'modeldriven', 'engineering', 'languages', 'systems'), 1)
(('engineering', 'adaptive', 'selfmanaging', 'systems', 'requirements'), 1)
(('adaptive', 'selfmanaging', 'systems', 'requirements', 'engineering'), 1)
(('selfmanaging', 'systems', 'requirements', 'engineering', 'foundation'), 1)
(('systems', 'requirements', 'engineering', 'foundation', 'software'), 1)
(('requirements', 'engineering', 'foundation', 'software', 'quality'), 1)
(('engineering', 'foundation', 'software', 'quality', 'model'), 1)
(('foundation', 'software', 'quality', 'model', 'driven'), 1)
(('software', 'quality', 'model', 'driven', 'engineering'), 1)
(('quality', 'model', 'driven', 'engineering', 'languages'), 1)
(('languages', 'systems', 'software', 'engineering', 'continuous'), 1)
(('systems', 'software', 'engineering', 'continuous', 'development'), 1)
(('development', 'software', 'production', 'deployment', 'modeldriven'), 1)
(('software', 'production', 'deployment', 'modeldriven', 'engineering'), 1)
(('production', 'deployment', 'modeldriven', 'engineering', 'languages'), 1)
(('deployment', 'modeldriven', 'engineering', 'languages', 'systems'), 1)
(('languages', 'systems', 'computational', 'science', 'computational'), 1)
(('systems', 'computational', 'science', 'computational', 'intelligence'), 1)
(('computational', 'science', 'computational', 'intelligence', 'model'), 1)
(('science', 'computational', 'intelligence', 'model', 'driven'), 1)
(('computational', 'intelligence', 'model', 'driven', 'engineering'), 1)
(('intelligence', 'model', 'driven', 'engineering', 'languages'), 1)
(('languages', 'systems', 'computational', 'science', 'applications'), 1)
(('systems', 'computational', 'science', 'applications', 'software'), 1)
(('computational', 'science', 'applications', 'software', 'systems'), 1)
(('science', 'applications', 'software', 'systems', 'modeling'), 1)
(('applications', 'software', 'systems', 'modeling', 'dependable'), 1)
(('software', 'systems', 'modeling', 'dependable', 'computing'), 1)
(('systems', 'modeling', 'dependable', 'computing', 'design'), 1)
(('modeling', 'dependable', 'computing', 'design', 'automation'), 1)
(('dependable', 'computing', 'design', 'automation', 'test'), 1)
(('computing', 'design', 'automation', 'test', 'big'), 1)
(('design', 'automation', 'test', 'big', 'data'), 1)
(('automation', 'test', 'big', 'data', 'model'), 1)
(('test', 'big', 'data', 'model', 'driven'), 1)
(('big', 'data', 'model', 'driven', 'engineering'), 1)
(('data', 'model', 'driven', 'engineering', 'languages'), 1)
